Item,Location,Quantity,Primary Category
Double-headed Microbrush Cotton Swab 7cm - 100pcs,Shelf 1 rack A,100,KK PLUS - FASHION & BEAUTY
Alloy Gap Brush 23cm - Black,Shelf 1 rack B,1000,KK PLUS - HOME & LIVING
Colourful Single Hooks Hanger - Yellow,Shelf 1 rack C,30,KK PLUS - HOME & LIVING
Colourful Single Hooks Hanger - White,Shelf 1 rack D,30,KK PLUS - HOME & LIVING
Colourful Single Hooks Hanger - Dark Blue,Shelf 1 rack A,30,KK PLUS - HOME & LIVING
Colourful Single Hooks Hanger - Pink,Shelf 1 rack B,30,KK PLUS - HOME & LIVING
Colourful Single Hooks Hanger - Black,Shelf 1 rack C,30,KK PLUS - HOME & LIVING
Rotatable 3 Hooks Hanger - Pink,Shelf 1 rack D,100,KK PLUS - HOME & LIVING
Rotatable 3 Hooks Hanger - Beige,Shelf 1 rack A,100,KK PLUS - HOME & LIVING
Rotatable 3 Hooks Hanger - Blue,Shelf 1 rack A,100,KK PLUS - HOME & LIVING
Rotatable 3 Hooks Hanger - Grey,Shelf 1 rack B,100,KK PLUS - HOME & LIVING
Rotatable 3 Hooks Hanger - Green,Shelf 1 rack C,100,KK PLUS - HOME & LIVING
Outdoor Camping Automatic Tent Big - Green (自动大帐篷绿色大),Shelf 1 rack D,1,No Category
Wall Mounted Octopus Hook - Cream White,Shelf 1 rack A,50,KK PLUS - HOME & LIVING
Wall Mounted Octopus Hook - Black Grey,Shelf 1 rack B,97,KK PLUS - HOME & LIVING
MIA GRETA Lengthening and Curl Mascara Sachet #01 Tentacle Black 2ml,Shelf 1 rack C,59,KK PLUS - FASHION & BEAUTY
MIA FLORA Matte Lip Colour Sachet #327 Hibiscus 2ml,Shelf 1 rack D,55,KK PLUS - FASHION & BEAUTY
MIA FLORA Matte Lip Colour Sachet #009 Tulip 2ml,Shelf 1 rack A,57,KK PLUS - FASHION & BEAUTY
MIA FLORA Matte Lip Colour Sachet #254 Peony 2ml,Shelf 1 rack A,53,KK PLUS - FASHION & BEAUTY
MIA FLORA Matte Lip Colour Sachet #021Sakura 2ml,Shelf 1 rack B,53,KK PLUS - FASHION & BEAUTY
MIA FLORA Matte Lip Colour Sachet #050 Rose 2ml,Shelf 1 rack C,56,KK PLUS - FASHION & BEAUTY
MIA FLORA Matte Lip Colour Sachet #034 Daisy 2ml,Shelf 1 rack D,55,KK PLUS - FASHION & BEAUTY
MIA FLORA Matte Lip Colour Sachet #007 Camelia 2ml,Shelf 1 rack A,56,KK PLUS - FASHION & BEAUTY
[CARTON] Ping Pong Cream Cracker 428g,Shelf 1 rack B,0,No Category
[CARTON] Karta Coconut Water 330ml x 24's,Shelf 1 rack C,0,KKMART.MY - BEVERAGES
Cigarette Hard Box - Red Trump,Shelf 1 rack D,10,KK PLUS - GIFT
Cigarette Hard Box - Black Trump,Shelf 1 rack A,10,KK PLUS - GIFT
Cigarette Hard Box - Gold MZD,Shelf 1 rack A,10,KK PLUS - GIFT
Cigarette Hard Box - Red MZD,Shelf 1 rack B,10,KK PLUS - GIFT
Cigarette Hard Box - Black MZD,Shelf 1 rack C,10,KK PLUS - GIFT
Mini Handheld Mop Replacement Head,Shelf 1 rack D,99,KK PLUS - HOME & LIVING
Mini Handheld Mop,Shelf 1 rack A,95,KK PLUS - HOME & LIVING
Heat Resistant Splash Proof Cover - Tall,Shelf 1 rack B,42,KK PLUS - KITCHEN & DINING
Heat Resistant Splash Proof Cover - Short,Shelf 1 rack C,56,KK PLUS - KITCHEN & DINING
Portable Tube Mini Paper Soap - Emoji,Shelf 1 rack D,192,KK PLUS - HOME & LIVING
Portable Tube Mini Paper Soap - Animal,Shelf 1 rack A,192,KK PLUS - HOME & LIVING
Portable Tube Mini Paper Soap - Fruit,Shelf 1 rack A,192,KK PLUS - HOME & LIVING
Mini Pot Brush Green,Shelf 1 rack B,50,KK PLUS - KITCHEN & DINING
Mini Pot Brush Grey,Shelf 1 rack C,46,KK PLUS - KITCHEN & DINING
[CARTON] Panadol Extend 48's,Shelf 1 rack D,0,KKMART.MY - PERSONAL CARE & BABY
[CARTON] Maggi Mee Curry 79g x 5s (5 in 1) 12's,Shelf 1 rack A,0,KKMART.MY - FOOD
Tudung - Inner Snowcap,Shelf 1 rack B,3,KK PLUS - FASHION & BEAUTY
Tudung - Shawl Chiffon,Shelf 1 rack C,8,KK PLUS - FASHION & BEAUTY
Tudung - Shawl Cotton Jersey,Shelf 1 rack D,7,KK PLUS - FASHION & BEAUTY
Tudung - Bawal Plain BD45,Shelf 1 rack A,6,KK PLUS - FASHION & BEAUTY
Bluetooth Earphones ANC Pro2 - White,Shelf 1 rack A,2,KK PLUS - GADGETS
Bluetooth Earphones ANC Pro2 - Black,Shelf 1 rack B,2,KK PLUS - GADGETS
Magnetic Wallet - Dark Blue,Shelf 1 rack C,1,KK PLUS - GADGETS
Magnetic Wallet - Black,Shelf 1 rack D,0,KK PLUS - GADGETS
Magnetic Wallet - Purple Pink,Shelf 1 rack A,0,KK PLUS - GADGETS
Magnetic Wallet - Brown,Shelf 1 rack B,2,KK PLUS - GADGETS
Headphones P9 - Pink,Shelf 1 rack C,0,KK PLUS - GADGETS
Headphones P9 - White,Shelf 1 rack D,0,KK PLUS - GADGETS
Headphones P9 - Black,Shelf 1 rack A,0,KK PLUS - GADGETS
